Harsha,5000,30000,Bangalore,ISE,5
Asha,5001,70000,Bangalore,ISE,6
Ananya,5002,45000,Mysore,CSE,5
Goutam,5003,80000,Bangalore,ISE,6
Pavitra,5004,65000,Mysore,CSE,7
Nandita,5005,78000,Mumbai,EEE,3
Sindhu,5006,87000,Dharwad,ECE,4
Divya,5007,67000,Hubli,AE,5
Pooja,5008,30000,Bangalore,AE,6
Anjali,5009,38000,Mysore,ECE,7
Adarsh,5010,89000,Dharwad,EEE,8
Navya,5011,90000,Hubli,ISE,4
Vinuta,5012,45000,Mangalore,CSE,5
Shridhar,5013,67000,Bangalore,AE,6
Nidhi,5014,55000,Dharwad,ISE,5
Bhyravi,5015,80000,Bangalore,EEE,7
Monika,5016,35000,Hubli,ECE,6
Raksha,5017,70000,Dharwad,CSE,4
Kavya,5018,60000,Mangalore,ISE,4
Srushti,5019,50000,Mysore,AE,5
